epoch,step,train_acc,train_acc_a,train_loss,val_acc,val_acc_a,val_loss
0,49,0.109375,1.0,0.7583503723144531,,,
0,99,0.109375,1.0,0.7580848932266235,,,
0,149,0.15625,1.0,0.750486433506012,,,
0,199,0.125,1.0,0.7556621432304382,,,
0,249,0.171875,1.0,0.7482323050498962,,,
0,299,0.109375,1.0,0.7585721611976624,,,
0,349,0.125,1.0,0.7550713419914246,,,
0,399,0.046875,1.0,0.7678226828575134,,,
0,449,0.109375,1.0,0.757978618144989,,,
0,499,0.109375,1.0,0.7577657103538513,,,
0,549,0.125,1.0,0.7557089328765869,,,
0,599,0.125,1.0,0.7554702162742615,,,
0,649,0.046875,1.0,0.7679165005683899,,,
0,699,0.140625,1.0,0.7526922225952148,,,
0,749,0.09375,1.0,0.7603139877319336,,,
0,799,0.15625,1.0,0.7506393194198608,,,
0,849,0.234375,1.0,0.738413393497467,,,
0,899,0.078125,1.0,0.7629027962684631,,,
0,949,0.125,1.0,0.7555311918258667,,,
0,999,0.15625,1.0,0.7507284879684448,,,
0,1049,0.09375,1.0,0.7605999112129211,,,
0,1099,0.203125,1.0,0.7431022524833679,,,
0,1149,0.15625,1.0,0.7507168054580688,,,
0,1199,0.125,1.0,0.7557792663574219,,,
0,1249,0.1875,1.0,0.7454447150230408,,,
0,1299,0.125,1.0,0.755686342716217,,,
0,1349,0.234375,1.0,0.7381464242935181,,,
0,1399,0.171875,1.0,0.7483288645744324,,,
0,1449,0.171875,1.0,0.748137354850769,,,
0,1499,0.140625,1.0,0.7533093690872192,,,
0,1549,0.125,1.0,0.7556090354919434,,,
0,1599,0.171875,1.0,0.7477995157241821,,,
0,1619,,,,0.09477674961090088,1.0,0.7601402401924133
1,1649,0.84375,0.0,0.45130741596221924,,,
1,1699,0.890625,0.0,0.34738689661026,,,
1,1749,0.890625,0.0,0.34920769929885864,,,
1,1799,0.859375,0.0,0.40226083993911743,,,
1,1849,0.875,0.0,0.29446855187416077,,,
1,1899,0.75,0.0,0.45400378108024597,,,
1,1949,0.96875,0.875,0.1494450718164444,,,
1,1999,0.96875,0.75,0.1747949719429016,,,
1,2049,0.96875,0.8333333134651184,0.08395794779062271,,,
1,2099,1.0,1.0,0.03364195302128792,,,
1,2149,0.984375,1.0,0.04725641384720802,,,
1,2199,0.96875,0.9166666865348816,0.08619704097509384,,,
1,2249,0.984375,1.0,0.037602800875902176,,,
1,2299,1.0,1.0,0.025133084505796432,,,
1,2349,0.9375,0.7692307829856873,0.08362039178609848,,,
1,2399,1.0,1.0,0.04056268557906151,,,
1,2449,0.953125,0.75,0.1373063027858734,,,
1,2499,0.953125,0.8181818127632141,0.13667482137680054,,,
1,2549,0.984375,0.8333333134651184,0.06635143607854843,,,
1,2599,1.0,1.0,0.03097999282181263,,,
1,2649,0.96875,0.8571428656578064,0.11685602366924286,,,
1,2699,0.9375,0.8181818127632141,0.16470400989055634,,,
1,2749,0.96875,0.8571428656578064,0.04206272214651108,,,
1,2799,0.953125,0.8888888955116272,0.13303041458129883,,,
1,2849,0.96875,1.0,0.07978686690330505,,,
1,2899,0.9375,0.692307710647583,0.1140492632985115,,,
1,2949,1.0,1.0,0.01447828859090805,,,
1,2999,0.96875,0.8571428656578064,0.12285830825567245,,,
1,3049,1.0,1.0,0.0163615420460701,,,
1,3099,1.0,1.0,0.01821703463792801,,,
1,3149,0.953125,0.800000011920929,0.0952034741640091,,,
1,3199,0.96875,0.8181818127632141,0.05091903358697891,,,
1,3239,,,,0.9922072291374207,0.9543403387069702,0.026924587786197662
2,3249,0.984375,1.0,0.014350268058478832,,,
2,3299,0.96875,1.0,0.061445966362953186,,,
2,3349,0.984375,0.8333333134651184,0.050950463861227036,,,
2,3399,0.984375,1.0,0.083313949406147,,,
2,3449,1.0,1.0,0.01672970876097679,,,
2,3499,0.984375,0.8888888955116272,0.05952463671565056,,,
2,3549,0.984375,1.0,0.08775199949741364,,,
2,3599,0.953125,0.8333333134651184,0.06366568058729172,,,
2,3649,0.96875,0.8999999761581421,0.06322197616100311,,,
2,3699,0.984375,0.8571428656578064,0.04122583195567131,,,
2,3749,0.984375,0.8888888955116272,0.06620975583791733,,,
2,3799,0.9375,0.8333333134651184,0.14461125433444977,,,
2,3849,0.96875,1.0,0.042902883142232895,,,
2,3899,0.953125,0.75,0.12787680327892303,,,
2,3949,0.96875,1.0,0.05568739399313927,,,
2,3999,0.96875,0.8888888955116272,0.10949775576591492,,,
2,4049,0.96875,0.8999999761581421,0.12604470551013947,,,
2,4099,0.96875,0.8999999761581421,0.05352552980184555,,,
2,4149,0.984375,0.9166666865348816,0.030893651768565178,,,
2,4199,0.96875,1.0,0.13615724444389343,,,
2,4249,0.984375,1.0,0.04248809814453125,,,
2,4299,0.96875,0.8999999761581421,0.11165913939476013,,,
2,4349,1.0,1.0,0.015301764011383057,,,
2,4399,0.984375,0.800000011920929,0.06706227362155914,,,
2,4449,0.953125,0.6666666865348816,0.07313904166221619,,,
2,4499,0.9375,0.4285714328289032,0.18820050358772278,,,
2,4549,1.0,1.0,0.02961757220327854,,,
2,4599,0.96875,0.7777777910232544,0.10138041526079178,,,
2,4649,0.984375,0.8333333134651184,0.045649055391550064,,,
2,4699,0.953125,0.6666666865348816,0.07918500155210495,,,
2,4749,0.953125,1.0,0.11258015036582947,,,
2,4799,1.0,1.0,0.02736048400402069,,,
2,4849,0.96875,0.75,0.08699323982000351,,,
2,4859,,,,0.9922072291374207,0.9420467019081116,0.02397282049059868
3,4899,0.953125,0.875,0.06358513981103897,,,
3,4949,0.96875,0.7777777910232544,0.0828968808054924,,,
3,4999,0.984375,0.9230769276618958,0.06168211251497269,,,
3,5049,0.96875,0.800000011920929,0.042806174606084824,,,
3,5099,1.0,1.0,0.016549544408917427,,,
3,5149,1.0,1.0,0.02053888328373432,,,
3,5199,0.984375,0.8571428656578064,0.04082002863287926,,,
3,5249,0.96875,1.0,0.0547436885535717,,,
3,5299,0.96875,0.8461538553237915,0.07007237523794174,,,
3,5349,0.953125,1.0,0.09297624230384827,,,
3,5399,1.0,1.0,0.005249070003628731,,,
3,5449,0.953125,0.8888888955116272,0.07038916647434235,,,
3,5499,1.0,1.0,0.04065261036157608,,,
3,5549,0.96875,0.8888888955116272,0.11061400920152664,,,
3,5599,1.0,1.0,0.005481957457959652,,,
3,5649,0.984375,1.0,0.04348351061344147,,,
3,5699,0.984375,0.8571428656578064,0.016740446910262108,,,
3,5749,0.953125,0.8181818127632141,0.0792824774980545,,,
3,5799,0.984375,1.0,0.03382888436317444,,,
3,5849,1.0,1.0,0.011345207691192627,,,
3,5899,0.9375,0.692307710647583,0.19276714324951172,,,
3,5949,0.984375,1.0,0.060919906944036484,,,
3,5999,1.0,1.0,0.014747226610779762,,,
3,6049,0.96875,0.8571428656578064,0.06997023522853851,,,
3,6099,0.984375,0.8888888955116272,0.05518626049160957,,,
3,6149,1.0,1.0,0.015309148468077183,,,
3,6199,0.984375,0.8999999761581421,0.02268127351999283,,,
3,6249,0.984375,0.8571428656578064,0.03996662795543671,,,
3,6299,0.984375,1.0,0.03711211681365967,,,
3,6349,0.96875,0.8888888955116272,0.1460590958595276,,,
3,6399,0.96875,0.8888888955116272,0.04978569224476814,,,
3,6449,0.984375,1.0,0.02839912474155426,,,
3,6479,,,,0.993049681186676,0.9259743690490723,0.024385590106248856
4,6499,0.9375,0.5,0.1359129548072815,,,
4,6549,1.0,1.0,0.01035294122993946,,,
4,6599,0.9375,0.8571428656578064,0.10197180509567261,,,
4,6649,1.0,1.0,0.009599306620657444,,,
4,6699,1.0,1.0,0.02467791549861431,,,
4,6749,0.96875,0.9166666865348816,0.05845552682876587,,,
4,6799,0.984375,1.0,0.017713362351059914,,,
4,6849,1.0,1.0,0.031092161312699318,,,
